id,time,long,lat
2822,2008-02-02 16:03:15,116.34467,39.87801
2822,2008-02-02 16:06:10,116.34412,39.87738
2822,2008-02-02 16:08:17,116.34155,39.87237
2822,2008-02-02 16:11:12,116.34146,39.87242
2822,2008-02-02 16:12:27,116.34052,39.87422
2822,2008-02-02 16:16:13,116.34061,39.88213
2822,2008-02-02 16:17:29,116.34055,39.88403
2822,2008-02-02 16:21:15,116.3211,39.88882
2822,2008-02-02 16:22:30,116.31836,39.8887
2822,2008-02-02 16:26:17,116.30396,39.88334
2822,2008-02-02 16:27:32,116.3046,39.8813
2822,2008-02-02 16:29:44,116.30519,39.8747
2822,2008-02-02 16:31:18,116.30742,39.86098
2822,2008-02-02 16:34:46,116.33611,39.84773
2822,2008-02-02 16:36:20,116.35196,39.85159
2822,2008-02-02 16:41:21,116.35878,39.85397
2822,2008-02-02 16:46:23,116.34669,39.85035
2822,2008-02-02 16:51:25,116.31836,39.84931
2822,2008-02-02 16:56:26,116.30433,39.88616
2822,2008-02-02 17:01:28,116.28907,39.89797
