id,time,long,lat
7666,2008-02-02 16:02:10,116.40846,40.02717
7666,2008-02-02 16:07:11,116.40845,40.02717
7666,2008-02-02 16:12:13,116.40849,40.02702
7666,2008-02-02 16:17:15,116.42573,40.02066
7666,2008-02-02 16:22:17,116.49141,40.00035
7666,2008-02-02 16:32:20,116.51873,39.96746
7666,2008-02-02 16:37:22,116.51814,39.93756
7666,2008-02-02 16:42:24,116.52403,39.93965
7666,2008-02-02 16:47:26,116.49691,39.93516
7666,2008-02-02 16:52:28,116.49875,39.92952
7666,2008-02-02 16:57:29,116.47901,39.9214
7666,2008-02-02 17:02:31,116.46142,39.9209
