id,time,long,lat
4809,2008-02-02 16:04:34,116.41162,39.95589
4809,2008-02-02 16:09:34,116.41418,39.95286
4809,2008-02-02 16:14:35,116.41931,39.94573
4809,2008-02-02 16:19:34,116.4195,39.93185
4809,2008-02-02 16:24:34,116.41524,39.9231
4809,2008-02-02 16:29:34,116.42039,39.91613
4809,2008-02-02 16:34:34,116.41744,39.90703
4809,2008-02-02 16:39:34,116.40008,39.90647
4809,2008-02-02 16:49:34,116.37025,39.90736
4809,2008-02-02 16:54:34,116.3705,39.9108
4809,2008-02-02 16:59:34,116.37517,39.92096
4809,2008-02-02 17:04:34,116.38738,39.92442
