id,time,long,lat
8462,2008-02-02 16:04:32,116.40945,39.96745
8462,2008-02-02 16:04:38,116.40992,39.96747
8462,2008-02-02 16:04:43,116.4102,39.96748
8462,2008-02-02 16:04:46,116.4103,39.96733
8462,2008-02-02 16:04:52,116.41057,39.9673
8462,2008-02-02 16:04:57,116.41062,39.96722
8462,2008-02-02 16:07:50,116.41067,39.96742
8462,2008-02-02 16:07:57,116.41015,39.9677
8462,2008-02-02 16:08:16,116.40842,39.96787
8462,2008-02-02 16:08:23,116.40828,39.96785
8462,2008-02-02 16:08:26,116.40823,39.96782
8462,2008-02-02 16:08:52,116.40793,39.96785
8462,2008-02-02 16:08:55,116.40765,39.9679
8462,2008-02-02 16:09:17,116.4057,39.96792
8462,2008-02-02 16:10:10,116.40537,39.9678
8462,2008-02-02 16:10:15,116.40518,39.96783
8462,2008-02-02 16:10:22,116.40503,39.96792
8462,2008-02-02 16:10:47,116.40505,39.96903
8462,2008-02-02 16:10:50,116.40503,39.96913
8462,2008-02-02 16:11:23,116.4048,39.97068
8462,2008-02-02 16:11:26,116.40483,39.9707
8462,2008-02-02 16:11:40,116.4049,39.97115
8462,2008-02-02 16:12:20,116.40497,39.97107
8462,2008-02-02 16:13:05,116.40505,39.97093
8462,2008-02-02 16:13:11,116.40502,39.97087
8462,2008-02-02 16:14:08,116.40147,39.97112
8462,2008-02-02 16:15:42,116.40247,39.97897
8462,2008-02-02 16:15:57,116.40277,39.97967
8462,2008-02-02 16:16:48,116.40277,39.97985
8462,2008-02-02 16:16:58,116.40288,39.98012
8462,2008-02-02 16:18:07,116.4036,39.9811
8462,2008-02-02 16:18:10,116.40362,39.98113
8462,2008-02-02 16:19:19,116.40425,39.98257
8462,2008-02-02 16:20:11,116.40587,39.98495
8462,2008-02-02 16:20:51,116.40595,39.98495
8462,2008-02-02 16:21:14,116.40697,39.98635
8462,2008-02-02 16:21:17,116.4071,39.98633
8462,2008-02-02 16:21:21,116.40715,39.98657
8462,2008-02-02 16:22:37,116.41472,39.98715
8462,2008-02-02 16:23:03,116.41527,39.98718
8462,2008-02-02 16:23:11,116.41555,39.98718
8462,2008-02-02 16:23:23,116.416,39.9872
8462,2008-02-02 16:27:37,116.44408,39.98238
8462,2008-02-02 16:28:07,116.44777,39.97992
8462,2008-02-02 16:29:05,116.44775,39.97993
8462,2008-02-02 16:30:34,116.4488,39.97968
8462,2008-02-02 16:31:22,116.45095,39.98357
8462,2008-02-02 16:31:54,116.45102,39.98698
8462,2008-02-02 16:31:57,116.45115,39.98702
8462,2008-02-02 16:32:09,116.45152,39.98748
8462,2008-02-02 16:33:10,116.4566,39.98828
8462,2008-02-02 16:35:00,116.4565,39.99507
8462,2008-02-02 16:35:54,116.45663,39.99923
8462,2008-02-02 16:35:57,116.4567,39.99927
8462,2008-02-02 16:36:20,116.45685,39.99967
8462,2008-02-02 16:36:24,116.45693,39.9997
8462,2008-02-02 16:36:35,116.45702,39.99972
8462,2008-02-02 16:37:07,116.45785,39.99988
8462,2008-02-02 16:37:10,116.45792,39.99983
8462,2008-02-02 16:37:29,116.45788,39.99987
8462,2008-02-02 16:37:53,116.45703,39.99972
8462,2008-02-02 16:37:58,116.45707,39.99972
8462,2008-02-02 16:38:00,116.45707,39.99972
8462,2008-02-02 16:38:03,116.45707,39.99972
8462,2008-02-02 16:38:25,116.45708,39.9995
8462,2008-02-02 16:39:30,116.4566,39.99455
8462,2008-02-02 16:40:43,116.45655,39.98865
8462,2008-02-02 16:41:05,116.45407,39.98787
8462,2008-02-02 16:41:34,116.45088,39.9873
8462,2008-02-02 16:42:16,116.45085,39.98333
8462,2008-02-02 16:47:57,116.44405,39.9744
8462,2008-02-02 16:49:44,116.43437,39.96585
8462,2008-02-02 16:51:00,116.42725,39.96818
8462,2008-02-02 16:51:11,116.42707,39.96825
8462,2008-02-02 16:52:14,116.42437,39.96832
8462,2008-02-02 16:53:14,116.4222,39.96807
8462,2008-02-02 16:54:50,116.41573,39.96793
8462,2008-02-02 16:54:53,116.41565,39.96792
8462,2008-02-02 16:58:37,116.39588,39.9673
8462,2008-02-02 16:58:40,116.39573,39.96722
8462,2008-02-02 17:00:50,116.38477,39.96702
